"","Old.number","Current.number","Plot","Subplot","a.2006..n.2011..nv.2016","Exclude","Added","Alive2006","Alive2011","Alive2016","Family","Species..names.not.updated.","C.Cerrado..G.generalist.","Shade.Tolerance","H.2016.m","DAP1.16","DAP2.16","DAP3.16","DAP4.16","DAP5.16","DAP6.16","DAP7.16","G2016..m2.","dg2016..cm.","H.2011..m.","DAP.1.11","DAP2.11","DAP3.11","DAP4.11","DAP5.11","DAP6.11","DAP7.11","G2011..m2.","dg.2011..cm.","H.2006","DAP1.06","DAP2.06","DAP3.06","DAP4.06","DAP5.06","DAP6.06","DAP7.06","G2006..m2.","dg2006..cm.","dg.2006.cm","dg.2011.cm","dg.2016.cm","dbh.annual.increment.cm._10.years","Code","BA.above2006","BA.above2011","Died2011","Died2016","TBA.2006.m2ha.1","TBA.2011.m2.ha.1","Total.sand..","Clay..","Silt..","Coarse.sand..","Fine.sand..","Base.saturation.V..0.20cm","clay.silt..","Fine.sand.clay.silt","Areia.Grossa","Base.saturation.V..60.80cm","Canopy.cover..","Canopy.oppeness..","Transprecipitation.2006..","soil.humidity.0.20cm..","Diameter.increment.cm.yr","PC1","PC2"
"1","2627","2627","17","10","a",NA,"2006","v","v","v","VOCHYSIACEAE","Vochysia tucanorum Mart.","G","I","11.5","18.8",NA,NA,NA,NA,NA,NA,"0.0278","18.8",6,"18.6","31.4",NA,NA,NA,NA,NA,0.1046,"36.5",8,"16.8","33.9",NA,NA,NA,NA,NA,0.1124,"37.8",37.83,36.5,18.8,-1.903,"VOTU",0.1881,0.5587,"n","n",9.07,12.39750216,52.01,17.09,3.83,44.06,35.01,4.5,20.9,55.9,44.06,5,80.632,19.37,95.02,0.84,0.27,3.06667543939776,-1.45354240309335
"2","1258","1258","7","3","a",NA,"2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T","6","6.4",NA,NA,NA,NA,NA,NA,"0.0032","6.4",12,"17.5","17.2",NA,NA,NA,NA,NA,0.0473,"24.5",12,"17.4","15.5",NA,NA,NA,NA,NA,0.0426,"23.3",23.3,24.54,6.4,-1.69,"OCCO",0,0,"n","n",10.41,12.84792015,49.94,9.34,2.95,44.77,42.94,10.3,12.3,55.2,44.77,11.3,52.374,47.63,93.88,0.46,0.3,-1.05485853530723,-0.171557631591878
"3","2755","2755","26","2","a",NA,"2006","v","v","v","ANACARDIACEAE","Tapirira guianensis Aubl.","G","T","12.9","9",NA,NA,NA,NA,NA,NA,"0.0064","9",11,"16.5","13.6","12.9",NA,NA,NA,NA,0.049,"25",10,"16.3","12.4","12.7",NA,NA,NA,NA,0.0456,"24.1",24.09,24.97,9,-1.509,"TAGU",1.518,1.659,"n","n",19.96,22.32469147,69.17,16.17,4.64,36.02,43.17,6.7,20.8,64,36.02,10.1,90.624,9.38,85.76,0.43,0.2,1.64860710067828,0.996777177784557
"4","2089","2089","20","6","a",NA,"2006","v","v","v","VOCHYSIACEAE","Vochysia tucanorum Mart.","G","I","9","20.2",NA,NA,NA,NA,NA,NA,"0.032","20.2",9,"28.3","20",NA,NA,NA,NA,NA,0.0943,"34.7",9,"27.2","19.4",NA,NA,NA,NA,NA,0.0877,"33.4",33.41,34.65,20.2,-1.321,"VOTU",0.0682,0.3508,"n","n",13.61,17.7712121,74.19,12.01,3.88,29.92,54.19,10.6,15.9,70.1,29.92,13.6,74.571,25.43,91.16,0.45,0.26,-0.270201353212592,1.69880953113054
"5","1450","9631","6","9","a",NA,"2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T","8","7",NA,NA,NA,NA,NA,NA,"0.0038","7",7,"11.2","5.3",NA,NA,NA,NA,NA,0.0121,"12.4",7,"13.5","9.9",NA,NA,NA,NA,NA,0.0219,"16.7",16.71,12.39,7,-0.971,"OCCO",0.5404,0.8995,"n","n",12.14,15.25078936,55.27,11.32,2.69,36.72,49.27,10.9,14,63.3,36.72,12.5,57.076,42.92,92.41,0.23,0.28,-1.44070875638512,0.660131924292916
"6","2251","2251","14","5","a",NA,"2006","v","v","v","VOCHYSIACEAE","Vochysia tucanorum Mart.","G","I","2.5","8.5",NA,NA,NA,NA,NA,NA,"0.0057","8.5",4,"19",NA,NA,NA,NA,NA,NA,0.0284,"19",4,"18",NA,NA,NA,NA,NA,NA,0.0255,"18",18.03,19,8.5,-0.953,"VOTU",0.5311,1.1235,"n","n",6.76,12.01158891,56.31,10.78,2.22,44.68,42.31,10.6,13,55.3,44.68,13.2,65.285,34.72,96.98,0.22,0.38,-1.69373799955675,0.526169934250018
"7","1219","9927","5","10","a",NA,"2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T","4","6.3",NA,NA,NA,NA,NA,NA,"0.0031","6.3",4,"17",NA,NA,NA,NA,NA,NA,0.0227,"17",6,"15.2",NA,NA,NA,NA,NA,NA,0.0182,"15.2",15.24,17,6.3,-0.894,"OCCO",0.2476,0.8413,"n","n",6.7,10.02848211,41.84,9.6,1.48,52.08,36.84,11.1,11.1,47.9,52.08,14.2,43.13,56.87,97.04,0.23,0.36,-2.64677130847713,-0.304824766583906
"8","2626","2626","17","10","a",NA,"2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T","11","17.6",NA,NA,NA,NA,NA,NA,"0.0243","17.6",11,"17","11.5","17.6",NA,NA,NA,NA,0.0574,"27",11,"16.6","10.2","15.2",NA,NA,NA,NA,0.0481,"24.7",24.74,27.04,17.6,-0.714,"OCCO",0,0,"n","n",9.07,12.39750216,52.01,17.09,3.83,44.06,35.01,4.5,20.9,55.9,44.06,5,80.632,19.37,95.02,0.84,0.27,3.06667543939776,-1.45354240309335
"9","2404","2404","14","9","a",NA,"2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T","6","6",NA,NA,NA,NA,NA,NA,"0.0028","6",8,"17",NA,NA,NA,NA,NA,NA,0.0227,"17",8,"13",NA,NA,NA,NA,NA,NA,0.0132,"13",12.95,17,6,-0.695,"OCCO",0.1043,0.2463,"n","n",6.76,12.01158891,56.31,10.78,2.22,44.68,42.31,10.6,13,55.3,44.68,13.2,65.285,34.72,96.98,0.22,0.38,-1.69373799955675,0.526169934250018
"10","909","909","2","7","a",NA,"2006","v","v","v","LAURACEAE","Ocotea corymbosa (Meisn.) Mez.","G","T","8","5",NA,NA,NA,NA,NA,NA,"0.002","5",11,"13.1",NA,NA,NA,NA,NA,NA,0.0135,"13.1",10,"11.9",NA,NA,NA,NA,NA,NA,0.0112,"11.9",11.94,13.1,5,-0.694,"OCCO",0.0393,0.0789,"n","n",7.52,11.07007716,41.7,9.2,2.22,48.88,39.7,10.5,11.4,51.1,48.88,14.2,42.8,57.2,96.34,0.2,0.29,-2.42961531349113,-0.150567312515456
